theta,theta_g,time,theta_p
1.105872,1.002064203,24,1.11747248
1.027024,1.087071156,24,1.11747248
1.003424,1.336076983,24,1.11747248
1.043648,1.009488288,24,1.11747248
1.00984,1.027638582,24,1.11747248
1.125488,1.195127216,24,1.11747248
1.124544,1.193780957,24,1.11747248
1.004336,1.04588963,24,1.11747248
1.005648,1.010701234,24,1.11747248
1.322528,1.055138217,24,1.11747248
1.024944,1.053971517,24,1.11747248
1.034576,1.022859053,24,1.11747248
1.39712,1.042204699,24,1.11747248
1.053024,1.066976909,24,1.11747248
1.13328,1.049038453,24,1.11747248
1.026656,1.012040721,24,1.11747248
1.04856,1.102170374,24,1.11747248
1.06888,1.0887425,24,1.11747248
1.104512,1.095901157,24,1.11747248
1.08904,1.260707411,24,1.11747248
1.258496,1.012116898,24,1.11747248
1.318256,1.136146899,24,1.11747248
1.007136,1.03820693,24,1.11747248
1.057904,1.010219739,24,1.11747248
1.060192,1.051469206,24,1.11747248
1.042,1.022502365,24,1.11747248
1.01192,1.052288837,24,1.11747248
1.053424,1.072652892,24,1.11747248
1.134848,1.030805998,24,1.11747248
1.230064,1.109848346,24,1.11747248
1.271232,1.268840393,24,1.11747248
1.046256,1.120953904,24,1.11747248
1.094352,1.000568539,24,1.11747248
1.059744,1.094570192,24,1.11747248
1.126176,1.183610786,24,1.11747248
1.146416,1.197127795,24,1.11747248
1.230176,1.322916975,24,1.11747248
1.063552,1.09055265,72,1.11747248
1.120608,1.237936861,72,1.11747248
1.109616,1.328889216,72,1.11747248
1.099424,1.092231441,72,1.11747248
1.13312,1.280429032,72,1.11747248
1.17584,1.126026608,72,1.11747248
1.13736,1.096846822,72,1.11747248
1.195536,1.024149907,72,1.11747248
1.154688,1.159295105,72,1.11747248
1.167744,1.173106374,72,1.11747248
1.0244,1.099684716,72,1.11747248
1.310512,1.065656934,72,1.11747248
1.0988,1.005388636,72,1.11747248
1.161344,1.11257425,72,1.11747248
1.116528,1.170366349,72,1.11747248
1.062496,1.003538069,72,1.11747248
1.3244,1.126571109,72,1.11747248
1.138176,1.028570385,72,1.11747248
1.121648,1.082685807,72,1.11747248
1.20352,1.29114186,72,1.11747248
1.009808,1.066697721,72,1.11747248
1.169008,1.249828588,72,1.11747248
1.11216,1.230447006,72,1.11747248
1.13792,1.005919943,72,1.11747248
1.059584,1.163162728,72,1.11747248
1.101152,1.020495297,72,1.11747248
1.001936,1.016518065,72,1.11747248
1.01904,1.185775669,72,1.11747248
1.04384,1.016641179,72,1.11747248
1.011248,1.026564787,72,1.11747248
1.173952,1.019982952,72,1.11747248
1.007472,1.101440603,72,1.11747248
1.000096,1.003577295,168,1.11747248
1.137632,1.31344554,168,1.11747248
1.082608,1.29849943,168,1.11747248
1.074432,1.11818568,168,1.11747248
1.089392,1.066632438,168,1.11747248
1.09336,1.181939326,168,1.11747248
1.0836,1.207230234,168,1.11747248
1.06928,1.009479631,168,1.11747248
1.239296,1.332646268,168,1.11747248
1.191712,1.102655674,168,1.11747248
1.18504,1.179145757,168,1.11747248
1.177936,1.125960965,168,1.11747248
1.206272,1.097642761,168,1.11747248
1.08512,1.087547274,168,1.11747248
1.170144,1.031457522,168,1.11747248
1.040864,1.149687713,168,1.11747248
1.310368,1.208755848,168,1.11747248
1.212976,1.048585518,168,1.11747248
1.277472,1.494655511,168,1.11747248
1.180672,1.050139893,168,1.11747248
1.210656,1.128800893,168,1.11747248
1.168112,1.096574463,168,1.11747248
1.20592,1.105149375,168,1.11747248
1.16536,1.122201131,168,1.11747248
1.013904,1.045171337,168,1.11747248
1.211504,1.034037807,168,1.11747248
1.369216,1.463955463,168,1.11747248
1.335824,1.49401042,168,1.11747248
1.243376,1.198744044,168,1.11747248
1.18264,1.115689159,168,1.11747248
1.186448,1.168982711,168,1.11747248
1.20456,1.077631934,168,1.11747248
1.193776,1.130214992,168,1.11747248
1.222944,1.01710592,168,1.11747248
1.227712,1.01479733,168,1.11747248
1.281504,1.435839013,168,1.11747248
1.299696,1.258907026,168,1.11747248
1.217936,1.255790313,168,1.11747248
1.233888,1.179801009,168,1.11747248
1.127824,1.332066339,168,1.11747248
1.112128,1.08348216,168,1.11747248
1.103808,1.241086788,168,1.11747248
1.2864,1.368011556,168,1.11747248
1.144784,1.23794067,168,1.11747248
1.220864,1.25930122,168,1.11747248
1.18624,1.407104054,168,1.11747248
1.185872,1.187745111,168,1.11747248
1.114944,1.38189667,168,1.11747248
1.095104,1.024895044,168,1.11747248
1.070176,1.197900381,168,1.11747248
1.086416,1.30802307,168,1.11747248
1.073728,1.282423186,168,1.11747248
1.016736,1.328651233,168,1.11747248
1.122896,1.022755343,168,1.11747248
1.082848,1.186808411,168,1.11747248
1.023248,1.004779569,168,1.11747248
1.108736,1.096202298,168,1.11747248
1.110208,1.262954049,168,1.11747248
1.06952,1.223728699,168,1.11747248
1.049584,1.137397671,168,1.11747248
1.141696,1.008896275,168,1.11747248
1.023984,1.041606307,168,1.11747248
1.062848,1.080529202,168,1.11747248
1.021904,1.020253129,168,1.11747248
1.132256,1.174733733,168,1.11747248
1.038368,1.104869799,168,1.11747248
1.088544,1.074299316,168,1.11747248
1.048944,1.038776767,168,1.11747248
1.005616,1.134969288,168,1.11747248
1.00208,1.006123972,168,1.11747248
1.192432,1.209181414,168,1.11747248
1.083936,1.084274518,168,1.11747248
1.173168,1.114105987,168,1.11747248
1.061696,1.143973952,168,1.11747248
1.061168,1.267312235,168,1.11747248
